time,vehicle x-position,vehicle y-position,vehicle z-position,velocity (m/s),revolutions per minute,roll (radians),pitch (radians),yaw (radians),water temperature (Celsius),velocity (m/s),rotation of the steering wheel,throttle,brake,clutch,airspeed,airflow speed,altitude,reverse,throttle,
369.66151537653,3580.7825180239,2942.2757438398,18.743213206115,14.969526822467,3979.8572689119,0.01119464635849,0.0018700178479776,2.8073763847351,90.33976725216,14.969526822467,9.8363759849207,0.1982183158604,0,0,14.972486309196,14.97572147236,18.739541908672,0,0.1982183158604,
369.67101537716,3580.8267285952,2942.4030262735,18.744140003775,14.977609350941,3978.5985479705,0.011262946762145,0.0019253876525909,2.8074421882629,90.33969069117,14.977609350941,14.436394525908,0.19921182228166,0,0,14.973510974237,14.974847884065,18.740451352255,0,0.19921182228166,
369.6800153777,3580.8732781333,2942.5373839792,18.745093595193,14.962848637597,3978.0510471251,0.01129237189889,0.0019554120954126,2.8074841499329,90.339611731377,14.962848637597,19.632875814397,0.20068116188089,0,0,14.971378512055,14.973926235109,18.741370023454,0,0.20068116188089,
369.68901537824,3580.9173244426,2942.6647114195,18.746028103113,14.976486097608,3978.3924413862,0.011177384294569,0.0020305395592004,2.807553768158,90.339513513207,14.976486097608,25.530497146565,0.20235180038446,0,0,14.972400050855,14.97320798943,18.742290736171,0,0.20235180038446,
369.69801537879,3580.96123573,2942.7921170662,18.746921016616,14.972463642424,3978.998040652,0.011014100164175,0.0020872806198895,2.8076615333557,90.339444856125,14.972463642424,31.256154392034,0.19903179684528,0,0,14.972412762242,14.972825081424,18.743206597115,0,0.19903179684528,
369.70701537933,3581.0049619158,2942.9195755986,18.747791749178,14.97358959011,3978.3177253888,0.010710009373724,0.0021417909301817,2.8078577518463,90.33937472008,14.97358959011,36.876807572472,0.19843339360371,0,0,14.972648189225,14.972607065261,18.744113999006,0,0.19843339360371,
369.71601537988,3581.0484955155,2943.0471158726,18.748596239668,14.98112179212,3978.2561489304,0.010198490694165,0.0021338339429349,2.808206319809,90.339306285816,14.98112179212,42.507651896408,0.20050333250206,0,0,14.974342954761,14.972560253955,18.745002045152,0,0.20050333250206,
369.72501538042,3581.0918633931,2943.1747495346,18.749372428265,14.970741446479,3978.5493760952,0.0096000526100397,0.0021244515664876,2.8085918426514,90.339239057378,14.970741446479,48.16131475689,0.20007145515873,0,0,14.973622618203,14.972880432778,18.745868121717,0,0.20007145515873,
369.73351538088,3581.1350777855,2943.3024552637,18.750150424938,14.984668652888,3977.8852990333,0.0088760210201144,0.002190250903368,2.8090724945068,90.339171560338,14.984668652888,53.793720158122,0.20333001823359,0,0,14.975831840901,14.973505075593,18.746715478209,0,0.20333001823359,
369.74301538151,3581.1757038024,2943.4231429901,18.75084574629,14.987739231376,3977.6558311344,0.0081091448664665,0.0021942055318505,2.809636592865,90.339105851372,14.987739231376,59.283286941651,0.19952429837839,0,0,14.978213385318,14.974278303638,18.747533362792,0,0.19952429837839,
369.75201538205,3581.2208662231,2943.5581452306,18.751569968048,14.987590047773,3976.6227878451,0.0071325753815472,0.0022174741607159,2.8104119300842,90.339061149489,14.987590047773,64.358916947776,0.19704324174007,0,0,14.980088675479,14.975395848477,18.748333391893,0,0.19704324174007,
