time,vehicle x-position,vehicle y-position,vehicle z-position,velocity (m/s),revolutions per minute,roll (radians),pitch (radians),yaw (radians),water temperature (Celsius),velocity (m/s),rotation of the steering wheel,throttle,brake,clutch,airspeed,airflow speed,altitude,reverse,throttle,
0.012500000186265,-597.88379748346,153.22119045093,0.27850260997138,0.0015602756792241,765.99122916402,0.0014931163750589,-0.0033279117196798,1.8853908777237,80.105484950379,0.0015602756792241,-0,0,0.3,1,0.0026540579699477,0.0001110719543176,0.27850345821593,0,0,
0.025500000454485,-597.88379697366,153.22118386837,0.27850407687998,0.0042791818088007,765.53298726588,0.0015010356437415,-0.0033247063402086,1.8853815793991,80.105524650941,0.0042791818088007,-0,0,0.3,1,0.0029790827413301,0.00010404388688913,0.27850360513857,0,0,
0.038500000722706,-597.88379595103,153.22118007134,0.27850561277785,0.00073350930751341,766.24636913275,0.0015075290575624,-0.0033280979841948,1.885378241539,80.105567369577,0.00073350930751341,1.2846866427805e-11,0,0.3,1,0.0025299680435268,0.00011121663514758,0.27850401473944,0,0,
0.057500001974404,-597.88379710841,153.22118274835,0.27850543670627,0.0043147601875813,765.6005823036,0.0015002815052867,-0.0033305815886706,1.8853877782822,80.105605702046,0.0043147601875813,-0,0,0.3,1,0.0028869264771925,0.0001150375345219,0.27850423513178,0,0,
0.076000002212822,-597.8837997619,153.22118958352,0.27850550260342,0.001468040189114,763.87116640065,0.0014926071744412,-0.0033257221803069,1.8853912353516,80.105664923077,0.001468040189114,-0,0,0.3,1,0.0026031492381353,0.00012073921886441,0.2785045366154,0,0,
0.094500002451241,-597.88379772961,153.22117967692,0.27850721038554,0.00060851943191283,762.12837586978,0.0015072890091687,-0.0033274285960943,1.8853778839111,80.1056647084,0.00060851943191283,-0,0,0.3,1,0.0022042232741413,0.00012239383582346,0.27850509370692,0,0,
0.11250000353903,-597.88379919101,153.22118832888,0.27850448050262,0.0021034748668927,763.25545353185,0.0014926395379007,-0.0033317615743726,1.8853936195374,80.105676143936,0.0021034748668927,1.1623355339443e-11,0,0.3,1,0.0021840735572425,0.00011203121805447,0.27850494929415,0,0,
0.13000000361353,-597.88379704126,153.22118124587,0.27850559010344,0.0025444157990455,762.0677721277,0.0015047455672175,-0.0033279450144619,1.8853785991669,80.105693553614,0.0025444157990455,-0,0,0.3,1,0.0022561420221655,0.00010087349432055,0.27850509602437,0,0,
0.14800000470132,-597.88379796379,153.221189719,0.27850638561164,0.00088604714220925,760.50804419822,0.0014918660745025,-0.0033312335144728,1.8853930234909,80.105726017416,0.00088604714220925,-0,0,0.3,1,0.0019821230346024,0.00010664368160349,0.27850536838062,0,0,
0.16500000562519,-597.88379538845,153.22118082136,0.27850700717581,0.0011612030080944,761.58588727072,0.0015067069325596,-0.0033297822810709,1.8853780031204,80.105764984553,0.0011612030080944,-0,0,0.3,1,0.0018179390319186,0.00010305192114311,0.27850571739584,0,0,
0.18250000569969,-597.88379637096,153.22119055068,0.27850449082086,0.0025533763432671,763.06877771829,0.0014925384894013,-0.003329943632707,1.8853899240494,80.105796147744,0.0025533763432671,-0,0,0.3,1,0.0019650264993706,0.00011736122073598,0.27850553765225,0,0,
0.19950000662357,-597.88379309168,153.22118297937,0.27850556535773,0.0040417534760437,762.04365751799,0.0015019112033769,-0.0033346598502249,1.8853850364685,80.105842281986,0.0040417534760437,-0,0,0.3,1,0.0023803718482275,0.00012403736971406,0.27850547730389,0,0,
0.21650000754744,-597.88379452211,153.22118591571,0.27850525084759,0.0045799828629451,763.12599147646,0.0014981232816353,-0.0033269906416535,1.8853826522827,80.105886937309,0.0045799828629451,1.7740910781255e-11,0,0.3,1,0.0028202940226451,0.00011245758816902,0.27850547670891,0,0,
0.23400000762194,-597.88379452302,153.22119043295,0.27850335601893,0.0018090681162894,762.06773469906,0.0014925706200302,-0.0033327513374388,1.8853930234909,80.105934841898,0.0018090681162894,-6.1175554418121e-12,0,0.3,1,0.0026180488462308,0.00011073660412766,0.27850502323763,0,0,
0.25200000870973,-597.8837927453,153.22118179286,0.27850477581137,0.00051993804060037,760.50803683649,0.0015068571083248,-0.0033302044030279,1.8853777647018,80.105986678559,0.00051993804060037,-6.1175554418121e-12,0,0.3,1,0.002198426679036,0.00010812415702006,0.27850500020707,0,0,
0.26950000878423,-597.88379494038,153.2211911225,0.27850117617758,0.00052730972568814,761.58588600159,0.0014928861055523,-0.0033317015040666,1.8853920698166,80.106033140746,0.00052730972568814,-6.1175554418121e-12,0,0.3,1,0.0018642032871234,0.00011641908195963,0.2785042665269,0,0,
0.28700000885874,-597.88379234513,153.22118176292,0.27850094435482,0.0017272599909932,760.45073169408,0.001507205888629,-0.0033323466777802,1.8853794336319,80.106071205929,0.0017272599909932,-6.1175554418121e-12,0,0.3,1,0.0018368146198412,0.00011953652596976,0.27850360805718,0,0,
0.30350000876933,-597.88379503276,153.22119095438,0.27849968997995,0.0028772261416842,761.56251526973,0.0014932902995497,-0.0033300211653113,1.8853892087936,80.106118005497,0.0028772261416842,-6.1175554418121e-12,0,0.3,1,0.0020448969157473,0.00012835905672378,0.27850288458608,0,0,
0.32000000867993,-597.88379372092,153.22118802943,0.27849851813446,0.0038054020814705,760.54771147711,0.0014949052128941,-0.0033348936121911,1.8853923082352,80.106160436895,0.0038054020814705,-6.1175554418121e-12,0,0.3,1,0.0023969979727317,0.00011561320235935,0.27850194222086,0,0,
